skills,education,job_recommendation,projects,math_knowledge,industry_demand
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Linear Algebra, Calculus",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Probability, Calculus",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",BSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Statistics, Linear Algebra",High
"Python, Transformers, PyTorch, NumPy, Pandas",BSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Statistics, Linear Algebra",Medium
"Python, TensorFlow, Keras, NumPy, Pandas",BSc,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Matplotlib",BSc,Robotics Engineer (AI-focused),Robot Navigation System; Obstacle Avoidance Robot,"Linear Algebra, Calculus",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MTech,Recommendation Systems Engineer,Movie Recommendation System; Product Recommendation System,"Statistics, Linear Algebra",High
"Python, OpenCV, NumPy, TensorFlow, Pandas",MTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Probability, Calculus",High
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Statistics, Linear Algebra",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Statistics",High
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Statistics",High
"Python, Scikit-learn, Pandas, NumPy, Matplotlib",MSc,Machine Learning Engineer,House Price Prediction; Recommendation System,"Probability, Calculus",Medium
"Python, OpenCV, NumPy, TensorFlow, Pandas",MSc,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Probability, Calculus",High
"Python, OpenCV, TensorFlow, Keras, NumPy",MSc,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Probability",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Calculus",High
"Python, TensorFlow, Keras, NumPy, Pandas",BTech,AI Engineer,AI Chatbot; AI Assistant System,"Probability, Statistics",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Calculus",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Statistics, Linear Algebra",High
"Python, PyTorch, Transformers, NumPy, Pandas",BSc,Generative AI Engineer,AI Text Generator; Text to Image System,"Probability, Statistics",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Probability, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Statistics, Linear Algebra",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",BSc,Reinforcement Learning Engineer,Game Playing Agent; Self Driving Simulation,"Probability, Calculus",High
"Python, OpenCV, NumPy, TensorFlow, Pandas",BTech,Autonomous Systems Engineer,Autonomous Driving System; Path Planning System,"Linear Algebra, Calculus",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",BTech,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Calculus",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Statistics",High
"Python, TensorFlow, Keras, Pandas, NumPy",MTech,MLOps Engineer,Model Deployment Pipeline; CI/CD ML System,"Probability, Statistics",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",Medium
"Python, PyTorch, Transformers, SpaCy, NLTK",MTech,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",High
"Python, PyTorch, Transformers, SpaCy, NLTK",MSc,NLP Engineer,Chatbot System; Text Summarization Tool,"Linear Algebra, Probability",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MSc,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Probability, Calculus",High
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Linear Algebra, Calculus",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Linear Algebra, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",BSc,Speech Recognition Engineer,Speech to Text System; Voice Assistant,"Probability, Statistics",High
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Linear Algebra, Calculus",Medium
"Python, TensorFlow, NumPy, Pandas, Matplotlib",MTech,AI Infrastructure Engineer,Distributed Training System; Model Serving System,"Statistics, Linear Algebra",High
"Python, TensorFlow, Keras, NumPy, Matplotlib",BTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Statistics, Linear Algebra",Medium
"Python, Transformers, PyTorch, NumPy, Pandas",MSc,LLM Engineer,Custom LLM Model; Chatbot with LLM,"Probability, Calculus",High
"Python, OpenCV, TensorFlow, Keras, NumPy",MTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Linear Algebra, Calculus",Medium
"Python, PyTorch, NumPy, Pandas, Matplotlib",MTech,AI Research Engineer,Research Paper Implementation; Model Experimentation,"Probability, Statistics",Medium
"Python, OpenCV, TensorFlow, Keras, NumPy",BTech,Computer Vision Engineer,Face Detection System; Object Detection System,"Probability, Calculus",Medium
"Python, TensorFlow, Keras, NumPy, Matplotlib",MTech,Deep Learning Engineer,Image Classification Model; Neural Network Optimization,"Probability, Calculus",Medium
"Python, PyTorch, Transformers, NumPy, Pandas",BSc,Generative AI Engineer,AI Text Generator; Text to Image System,"Statistics, Linear Algebra",High
"Python, PyTorch, NumPy, Pandas, Matplotlib",MSc,AI Research Engineer,Research Paper Implementation; Model Experimentation,"Probability, Statistics",Medium
