skills,education,job_recommendation,math_knowledge,projects,industry_demand
"Photoshop, Procreate, Krita, Clip Studio Paint, Illustrator",BSc,Concept Artist,Geometry,"Game World Concept Art, Character Concept Sheet",Medium
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BFA,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Blender, Maya, ZBrush, Substance Painter, 3ds Max",BTech,3D Modeler,Geometry,"3D Game Asset Pack, Character Model Creation",High
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BCA,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",Medium
"Photoshop, Illustrator, Figma, InDesign, CorelDRAW",BSc,Graphic Designer,Linear Algebra,"Brand Identity Design, Social Media Ad Campaign Design",Medium
"Photoshop, Illustrator, Figma, InDesign, CorelDRAW",MTech,Graphic Designer,Linear Algebra,"Brand Identity Design, Social Media Ad Campaign Design",High
"Photoshop, Procreate, Krita, Clip Studio Paint, Illustrator",BTech,Concept Artist,Geometry,"Game World Concept Art, Character Concept Sheet",Medium
"Nuke, After Effects, Houdini, Fusion, Blender",BTech,VFX Artist,Calculus,"Explosion VFX Scene, Sci‑Fi VFX Shot",High
"Nuke, After Effects, Houdini, Fusion, Blender",BSc,VFX Artist,Calculus,"Explosion VFX Scene, Sci‑Fi VFX Shot",High
"Maya, Blender, Toon Boom, TVPaint, Adobe Animate",BTech,Animator,Trigonometry,"Short Character Animation, Cartoon Animation Scene",High
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BCA,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",Medium
"Photoshop, Illustrator, Figma, InDesign, CorelDRAW",BCA,Graphic Designer,Linear Algebra,"Brand Identity Design, Social Media Ad Campaign Design",High
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BFA,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Photoshop, Illustrator, Figma, InDesign, CorelDRAW",BSc,Graphic Designer,Linear Algebra,"Brand Identity Design, Social Media Ad Campaign Design",Medium
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BCA,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",High
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BSc,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",High
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BFA,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BSc,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Maya, Blender, Toon Boom, TVPaint, Adobe Animate",BSc,Animator,Trigonometry,"Short Character Animation, Cartoon Animation Scene",Medium
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BTech,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",Medium
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BFA,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Storyboard Pro, Photoshop, Clip Studio Paint, Procreate, Toon Boom",BFA,Storyboard Artist,Geometry,"Film Storyboard Sequence, Animation Storyboard Project",Medium
"Blender, Maya, ZBrush, Substance Painter, 3ds Max",BSc,3D Modeler,Geometry,"3D Game Asset Pack, Character Model Creation",High
"Premiere Pro, After Effects, DaVinci Resolve, Final Cut Pro, Audition",BCA,Video Editor,Statistics,"YouTube Video Editing Portfolio, Short Film Editing Project",Medium
"Figma, Adobe XD, Sketch, Photoshop, Illustrator",BSc,Web Designer,Graph Theory,"Responsive Website Design, Landing Page UI Project",High
"Blender, Maya, ZBrush, Substance Painter, 3ds Max",BSc,3D Modeler,Geometry,"3D Game Asset Pack, Character Model Creation",High
"After Effects, Cinema 4D, Illustrator, Photoshop, Premiere Pro",BTech,Motion Graphics Designer,Trigonometry,"Animated Logo Intro, Promotional Motion Video",High
