skills,education,job_recommendation,projects,math_knowledge,industry_demand
"Photoshop, Unity, DaVinci Resolve, Substance Designer, Figma",MTech,Lighting Artist (Animation),3D Character Animation,Calculus,Medium
"Maya, Photoshop, Octane, Figma, Blender",BTech,3D Motion Designer,Animated Title Sequence,Trigonometry,High
"Arnold, Nuke, Substance Painter, DaVinci Resolve, Unity",BTech,Animation Director,VFX Short Scene,Geometry,Medium
"Cinema 4D, Octane, After Effects, Houdini, Blender",MTech,3D Motion Designer,VFX Short Scene,Matrix Algebra,Medium
"ZBrush, V-Ray, Illustrator, Premiere Pro, Figma",BTech,Interaction Designer,Logo Motion Animation,Matrix Algebra,High
"Substance Painter, Toon Boom Harmony, Blender, Houdini, Figma",BTech,Motion Branding Designer,UI Animation Prototype,Geometry,Medium
"Unreal Engine, Premiere Pro, After Effects, ZBrush, V-Ray",MTech,3D Motion Designer,VFX Short Scene,Geometry,High
"Substance Designer, DaVinci Resolve, Houdini, Substance Painter, V-Ray",BTech,VFX Artist,VFX Short Scene,Geometry,High
"Nuke, Photoshop, Illustrator, Arnold, Unity",BSc,UI Motion Designer,Game Character Animation,Linear Algebra,Medium
"Substance Designer, After Effects, Blender, Photoshop, Substance Painter",BSc,3D Animator,Game Character Animation,Trigonometry,High
"Redshift, Cinema 4D, Arnold, Premiere Pro, ZBrush",MTech,Motion Designer,3D Environment Render,Matrix Algebra,Medium
"Redshift, ZBrush, V-Ray, Toon Boom Harmony, Blender",BSc,3D Animator,Game Character Animation,Linear Algebra,Medium
"Premiere Pro, Nuke, Redshift, Unity, After Effects",MTech,Compositing Artist,Animated Title Sequence,Matrix Algebra,High
"Redshift, Toon Boom Harmony, Cinema 4D, After Effects, Arnold",BTech,Game Animator,UI Animation Prototype,Linear Algebra,High
"Unreal Engine, After Effects, Blender, Photoshop, DaVinci Resolve",MTech,Rendering Artist,Logo Motion Animation,Matrix Algebra,Medium
"Nuke, Cinema 4D, ZBrush, Substance Painter, Illustrator",BTech,Motion Branding Designer,Logo Motion Animation,Matrix Algebra,Medium
"Unreal Engine, Houdini, V-Ray, Premiere Pro, Substance Designer",BTech,Storyboard Artist,Animated Title Sequence,Geometry,Medium
"Cinema 4D, Toon Boom Harmony, Unity, Figma, Nuke",MTech,Animation Director,Logo Motion Animation,Geometry,High
"Substance Painter, Nuke, Substance Designer, Toon Boom Harmony, Unity",BTech,Interaction Designer,Motion Graphics Ad,Geometry,Medium
"Arnold, Substance Designer, TVPaint, Illustrator, Cinema 4D",MTech,2D Animator,3D Character Animation,Geometry,Medium
"Octane, Photoshop, Unity, Nuke, Blender",BTech,Graphics Animator,Game Character Animation,Calculus,High
"Unity, Octane, DaVinci Resolve, Unreal Engine, Arnold",MTech,Lighting Artist (Animation),VFX Short Scene,Calculus,Medium
"Blender, TVPaint, Illustrator, Substance Painter, Substance Designer",MTech,Storyboard Artist,Product Animation,Calculus,High
"Substance Designer, Photoshop, Cinema 4D, Illustrator, V-Ray",BTech,Rendering Artist,Game Character Animation,Matrix Algebra,High
"DaVinci Resolve, Octane, Substance Painter, Houdini, TVPaint",BTech,CG Artist,3D Environment Render,Trigonometry,Medium
"Premiere Pro, Redshift, Substance Designer, Houdini, After Effects",MTech,3D Motion Designer,Game Character Animation,Geometry,Medium
"Unreal Engine, Maya, Arnold, Premiere Pro, Redshift",BSc,Broadcast Motion Designer,Game Character Animation,Trigonometry,High
